ID; Category1_ID; Category2_ID; Conflict_Type (1-7)
1; 1; 6; 2
2; 1; 4; 5
3; 2; 7; 1
4; 2; 4; 7
5; 4; 1; 3
6; 6; 2; 4
7; 9; 5; 2
8; 25; 6; 5
9; 4; 1; 1
10; 4; 2; 6
11; 4; 16; 7
12; 4; 5; 3
13; 5; 1; 4
14; 5; 2; 2
15; 5; 20; 6
16; 5; 4; 1
17; 6; 1; 5
18; 6; 2; 3
19; 6; 17; 7
20; 6; 4; 2
21; 7; 1; 6
22; 7; 2; 4
23; 7; 3; 1
24; 7; 4; 5
25; 8; 1; 7
26; 8; 2; 2
27; 8; 34; 3
28; 8; 4; 6
29; 9; 1; 1
30; 9; 2; 5
31; 9; 35; 4
32; 9; 4; 2
33; 10; 1; 3
34; 10; 2; 7
35; 10; 11; 6
36; 10; 4; 1
37; 11; 1; 4
38; 11; 2; 2
39; 11; 13; 5
40; 11; 4; 7
41; 12; 1; 6
42; 12; 2; 1
43; 12; 23; 3
44; 12; 4; 4
45; 13; 1; 2
46; 13; 2; 5
47; 13; 24; 7
48; 13; 4; 6
49; 14; 1; 1
50; 14; 2; 3
51; 14; 20; 4
52; 14; 4; 2
53; 15; 1; 5
54; 15; 2; 7
55; 15; 19; 1
56; 15; 4; 3
57; 16; 1; 6
58; 16; 2; 4
59; 16; 3; 2
60; 16; 4; 5
61; 17; 1; 7
62; 17; 2; 1
63; 17; 15; 3
64; 17; 4; 6
65; 18; 1; 2
66; 18; 2; 5
67; 18; 17; 4
68; 18; 4; 7
69; 19; 1; 3
70; 19; 2; 6
71; 19; 31; 1
72; 19; 4; 2
73; 20; 1; 4
74; 20; 2; 7
75; 20; 32; 5
76; 20; 4; 1
77; 21; 1; 6
78; 21; 2; 3
79; 21; 14; 2
80; 21; 4; 4
81; 22; 1; 7
82; 22; 2; 1
83; 22; 15; 5
84; 22; 4; 3
85; 23; 1; 2
86; 23; 2; 6
87; 23; 23; 4
88; 23; 4; 7
89; 24; 1; 3
90; 24; 2; 5
91; 24; 12; 1
92; 24; 4; 6
93; 25; 1; 4
94; 25; 2; 2
95; 25; 13; 7
96; 25; 4; 5
97; 26; 1; 6
98; 26; 2; 1
99; 26; 33; 3
100; 26; 4; 2
