ID; Name; CAS; Category; Toxicity; HSR_d; HSR_p; HSR_h
1; Niacinamide; 98-92-0; 1; 1; 7.3; 4.6; 7.3
2; Linoleic Acid; 60-33-3; 2; 1; 5.4; 5.6; 2.9
3; Azelaic Acid; 123-99-9; 2; 1; 0.1; 6.1; 3.32
4; Benzyl Alcohol; 100-51-6; 3; 1; 7.3; 4.6; 7.3
5; Antimony; 7440-36-0; 4; 3; 7.3; 4.6; 7.3
6; Glycerin; 56-81-5; 1; 1; 3.2; 2.1; 8.4
7; Sodium Lauryl Sulfate; 151-21-3; 2; 2; 12.5; 15.2; 1.8
8; Phenoxyethanol; 122-99-6; 3; 2; 6.7; 8.3; 4.5
9; Hyaluronic Acid; 9004-61-9; 1; 1; 2.3; 1.5; 9.1
10; Retinol; 68-26-8; 5; 2; 9.8; 6.4; 5.2
11; Ceramide NP; 100403-19-8; 1; 1; 2.1; 1.8; 9.5
12; Squalane; 111-01-3; 1; 1; 1.5; 0.9; 12.3
13; Vitamin E; 59-02-9; 5; 1; 4.5; 3.2; 7.8
14; Xanthan Gum; 11138-66-2; 7; 1; 0.5; 0.3; 14.2
15; Zinc Oxide; 1314-13-2; 10; 1; 1.2; 18.7; 0.5
16; Titanium Dioxide; 13463-67-7; 10; 1; 0.8; 19.2; 0.3
17; Allantoin; 97-59-6; 16; 1; 4.1; 3.8; 7.6
18; Salicylic Acid; 69-72-7; 18; 2; 8.9; 12.3; 2.1
19; Glycolic Acid; 79-14-1; 18; 2; 7.5; 11.8; 3.4
20; Lactic Acid; 50-21-5; 18; 1; 6.2; 9.7; 5.1
21; Panthenol; 81-13-0; 1; 1; 3.8; 2.9; 8.7
22; Cetearyl Alcohol; 67762-27-0; 3; 1; 5.6; 7.2; 3.8
23; Dimethicone; 9006-65-9; 1; 1; 0.3; 0.1; 13.5
24; Cyclopentasiloxane; 541-02-6; 1; 1; 0.2; 0.1; 14.8
25; Butylene Glycol; 107-88-0; 1; 1; 2.8; 3.1; 7.9
26; Caprylic/Capric Triglyceride; 65381-09-1; 1; 1; 1.2; 0.8; 11.4
27; Cetyl Alcohol; 36653-82-4; 3; 1; 4.3; 5.9; 4.2
28; Stearic Acid; 57-11-4; 2; 1; 3.5; 6.2; 3.8
29; Tocopheryl Acetate; 58-95-7; 5; 1; 3.9; 2.8; 8.1
30; Ascorbic Acid; 50-81-7; 5; 1; 8.2; 9.1; 4.3
31; Citric Acid; 77-92-9; 13; 1; 5.1; 7.8; 4.5
32; Sodium Hyaluronate; 9067-32-7; 1; 1; 1.8; 1.2; 10.2
33; Adenosine; 58-61-7; 15; 1; 6.5; 8.3; 5.7
34; Copper Tripeptide-1; 89030-95-5; 15; 1; 7.1; 9.2; 4.3
35; Alpha-Arbutin; 84380-01-8; 16; 1; 6.8; 7.9; 5.2
36; Kojic Acid; 501-30-4; 16; 2; 7.9; 10.2; 3.1
37; Resveratrol; 501-36-0; 5; 1; 8.3; 9.5; 4.2
38; Ferulic Acid; 1135-24-6; 5; 1; 7.6; 8.9; 4.8
39; Ubiquinone; 303-98-0; 5; 1; 9.1; 10.3; 3.5
40; Squalene; 111-02-4; 1; 1; 1.3; 0.7; 13.2
41; Lecithin; 8002-43-5; 6; 1; 2.5; 3.2; 8.1
42; Polysorbate 20; 9005-64-5; 6; 1; 4.2; 5.1; 5.3
43; Ceteareth-20; 68439-49-6; 6; 1; 5.3; 6.8; 4.1
44; Glyceryl Stearate; 11099-07-3; 6; 1; 3.2; 4.5; 6.2
45; Sorbitan Oleate; 1338-43-8; 6; 1; 3.8; 5.2; 5.7
46; PEG-40 Hydrogenated Castor Oil; 61788-85-0; 6; 1; 4.9; 6.3; 4.8
47; Cetyl Palmitate; 540-10-3; 1; 1; 2.1; 3.2; 7.4
48; Isopropyl Myristate; 110-27-0; 1; 1; 1.9; 2.8; 8.3
49; Octyldodecanol; 5333-42-6; 1; 1; 1.5; 2.1; 9.8
50; Ethylhexyl Palmitate; 29806-73-3; 1; 1; 1.2; 1.8; 10.5
51; Isohexadecane; 4390-04-9; 1; 1; 0.8; 1.2; 12.3
52; C12-15 Alkyl Benzoate; 68411-27-8; 1; 1; 1.1; 1.5; 11.2
53; Diethylhexyl Carbonate; 14803-05-5; 1; 1; 0.9; 1.3; 12.8
54; Isoamyl Laurate; 6309-51-9; 1; 1; 1.3; 1.9; 10.7
55; Neopentyl Glycol Diethylhexanoate; 27841-06-1; 1; 1; 1.0; 1.4; 11.9
56; Ethylhexyl Stearate; 22047-49-0; 1; 1; 1.4; 2.0; 9.6
57; Isopropyl Isostearate; 31478-84-9; 1; 1; 1.6; 2.3; 8.9
58; Isostearyl Isostearate; 41669-30-1; 1; 1; 1.7; 2.5; 8.5
59; Octyldodecyl Neopentanoate; 125804-16-4; 1; 1; 1.2; 1.7; 10.8
60; Cetyl Ricinoleate; 10401-55-5; 1; 1; 1.9; 2.7; 8.7
61; Isocetyl Stearate; 25339-09-7; 1; 1; 1.5; 2.2; 9.4
62; Isodecyl Neopentanoate; 60209-82-7; 1; 1; 1.1; 1.6; 11.3
63; Isononyl Isononanoate; 42131-25-9; 1; 1; 1.0; 1.5; 12.1
64; Octyl Hydroxystearate; 2986-30-7; 1; 1; 1.8; 2.6; 9.1
65; Decyl Oleate; 3687-46-5; 1; 1; 1.7; 2.4; 9.3
66; Myristyl Myristate; 3234-85-3; 1; 1; 1.4; 2.1; 9.9
67; Cetearyl Ethylhexanoate; 90411-68-0; 1; 1; 1.6; 2.3; 9.2
68; Diisopropyl Sebacate; 7491-02-3; 1; 1; 1.9; 2.8; 8.6
69; Diisostearyl Malate; 127512-63-4; 1; 1; 1.5; 2.2; 9.7
70; Ethylhexyl Isononanoate; 71566-49-9; 1; 1; 1.2; 1.8; 10.6
71; Ethylhexyl Cocate; 73681-18-8; 1; 1; 1.3; 1.9; 10.3
72; Cetyl Ethylhexanoate; 6197-30-4; 1; 1; 1.4; 2.0; 9.8
73; Isopropyl Palmitate; 142-91-6; 1; 1; 1.6; 2.3; 9.1
74; Isostearyl Alcohol; 27458-93-1; 3; 1; 3.2; 4.8; 6.5
75; Behenyl Alcohol; 661-19-8; 3; 1; 3.8; 5.6; 5.7
76; Arachidyl Alcohol; 629-96-9; 3; 1; 3.5; 5.2; 6.1
77; Lauryl Alcohol; 112-53-8; 3; 1; 4.2; 6.3; 5.2
78; Myristyl Alcohol; 112-72-1; 3; 1; 3.9; 5.8; 5.9
79; Cetyl Alcohol; 36653-82-4; 3; 1; 4.1; 6.1; 5.6
80; Stearyl Alcohol; 112-92-5; 3; 1; 3.7; 5.5; 6.2
81; Oleyl Alcohol; 143-28-2; 3; 1; 4.0; 6.0; 5.8
82; Isocetyl Alcohol; 36311-34-9; 3; 1; 3.6; 5.4; 6.3
83; Isohexadecyl Alcohol; 36311-34-9; 3; 1; 3.4; 5.1; 6.7
84; Isostearyl Alcohol; 27458-93-1; 3; 1; 3.3; 5.0; 6.8
85; Octyldodecanol; 5333-42-6; 1; 1; 2.1; 3.2; 7.9
86; Caprylyl Glycol; 1117-86-8; 4; 1; 3.1; 4.7; 6.9
87; Ethylhexylglycerin; 70445-33-9; 4; 1; 3.5; 5.3; 6.4
88; Phenethyl Alcohol; 60-12-8; 4; 1; 5.2; 7.8; 4.8
89; Benzyl Alcohol; 100-51-6; 4; 1; 6.3; 9.2; 3.7
90; Chlorphenesin; 104-29-0; 4; 1; 5.8; 8.7; 4.2
91; Sodium Benzoate; 532-32-1; 4; 1; 4.7; 7.1; 5.6
92; Potassium Sorbate; 24634-61-5; 4; 1; 4.5; 6.8; 5.9
93; Dehydroacetic Acid; 520-45-6; 4; 1; 5.1; 7.7; 5.1
94; Sodium Dehydroacetate; 4418-26-2; 4; 1; 4.9; 7.4; 5.4
95; Benzoic Acid; 65-85-0; 4; 1; 5.6; 8.4; 4.7
96; Sorbic Acid; 110-44-1; 4; 1; 5.3; 8.0; 5.0
97; Salicylic Acid; 69-72-7; 4; 2; 7.9; 11.2; 3.1
98; Azelaic Acid; 123-99-9; 4; 1; 6.2; 9.3; 4.2
99; Glycolic Acid; 79-14-1; 4; 2; 7.5; 10.8; 3.5
100; Lactic Acid; 50-21-5; 4; 1; 6.8; 9.8; 4.0
101; Magnesium Ascorbyl Phosphate; 114040-31-2; 5; 1; 6.5; 8.2; 5.8
102; Tetrahexyldecyl Ascorbate; 183476-82-6; 5; 1; 7.2; 9.1; 4.9
103; Sodium Ascorbyl Phosphate; 66170-10-3; 5; 1; 5.8; 7.7; 6.3
104; Ascorbyl Glucoside; 129499-78-1; 5; 1; 5.3; 7.2; 6.9
105; Ascorbyl Tetraisopalmitate; 183476-82-6; 5; 1; 6.1; 8.0; 5.7
106; Ethyl Ascorbic Acid; 86404-04-8; 5; 1; 6.8; 8.7; 5.2
107; 3-O-Ethyl Ascorbic Acid; 86404-04-8; 5; 1; 6.4; 8.3; 5.5
108; Ascorbyl Palmitate; 137-66-6; 5; 1; 5.9; 7.8; 6.1
109; Tocopherol; 59-02-9; 5; 1; 4.7; 3.5; 8.2
110; Tocotrienol; 6829-55-6; 5; 1; 5.2; 4.1; 7.9
111; Ubiquinone; 303-98-0; 5; 1; 7.1; 8.9; 4.8
112; Glutathione; 70-18-8; 5; 1; 6.3; 8.2; 5.6
113; Superoxide Dismutase; 9054-89-1; 5; 1; 5.7; 7.6; 6.2
114; Catalase; 9001-05-2; 5; 1; 5.4; 7.3; 6.5
115; Coenzyme Q10; 303-98-0; 5; 1; 6.9; 8.7; 5.1
116; Alpha-Lipoic Acid; 1077-28-7; 5; 1; 7.3; 9.2; 4.7
117; Ergothioneine; 497-30-3; 5; 1; 5.1; 6.8; 6.9
118; Pycnogenol; 85507-69-3; 5; 1; 6.2; 8.1; 5.8
119; Polypodium Leucotomos Extract; 90082-63-6; 24; 1; 4.8; 3.2; 8.7
120; Ectoin; 96702-03-3; 16; 1; 4.3; 2.9; 9.1
121; Acetyl Hexapeptide-8; 616204-22-9; 15; 1; 5.6; 7.4; 6.3
122; Palmitoyl Tripeptide-1; 147732-56-7; 15; 1; 5.9; 7.7; 6.1
123; Palmitoyl Tetrapeptide-7; 221227-05-0; 15; 1; 5.4; 7.2; 6.5
124; Palmitoyl Pentapeptide-4; 214047-00-4; 15; 1; 5.7; 7.5; 6.2
125; Acetyl Octapeptide-3; 868844-74-0; 15; 1; 5.2; 6.9; 6.8
126; Matrixyl 3000; N/A; 15; 1; 5.8; 7.6; 6.1
127; Snap-8; 868844-74-0; 15; 1; 5.3; 7.1; 6.7
128; Argireline; 616204-22-9; 15; 1; 5.5; 7.3; 6.4
129; Leuphasyl; 343673-76-3; 15; 1; 5.1; 6.8; 6.9
130; Syn-Ake; 910643-97-3; 15; 1; 5.7; 7.5; 6.2
131; Dipeptide Diaminobutyroyl Benzylamide Diacetate; 823202-99-9; 15; 1; 5.4; 7.2; 6.5
132; Tripeptide-1; 72957-38-1; 15; 1; 4.9; 6.7; 7.1
133; Tripeptide-3; 823202-99-9; 15; 1; 5.2; 6.9; 6.8
134; Hexapeptide-9; 934716-52-2; 15; 1; 5.6; 7.4; 6.3
135; Oligopeptide-1; 99542-23-5; 15; 1; 5.3; 7.1; 6.7
136; Oligopeptide-2; 99542-24-6; 15; 1; 5.1; 6.9; 6.9
137; Oligopeptide-3; 99542-25-7; 15; 1; 5.4; 7.2; 6.5
